amfi_code,start_date,end_date,start_nav,end_nav,cagr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,beta,alpha_pct,var_95_pct,cvar_95_pct,volatility_ann_pct,num_observations,scheme_name,fund_house,category,risk_grade
100016,2022-01-03,2026-05-29,520.4608,583.6113,2.64,-0.2015,-0.3482,-24.73,,,-1.4364,-1.806,14.5481,1149,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Moderate
100025,2022-01-03,2026-05-29,26.3169,31.8843,4.46,-0.5671,-0.9154,-4.31,,,-0.3793,-0.4994,3.9052,1149,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Low
100033,2022-01-03,2026-05-29,107.3758,342.0072,30.12,1.0937,1.8238,-16.22,,,-1.9034,-2.3456,18.9367,1149,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,High
101206,2022-01-03,2026-05-29,305.0996,773.2939,23.54,1.0272,1.7856,-11.29,,,-1.3282,-1.7439,14.5682,1149,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Moderate
101207,2022-01-03,2026-05-29,38.5736,53.9836,7.94,0.1627,0.2746,-35.45,,,-2.6021,-3.2459,25.7973,1149,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Very High
101208,2022-01-03,2026-05-29,310.7415,410.1021,6.51,-0.8156,-1.3246,-0.16,,,-0.0269,-0.0422,0.5064,1149,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Low
102885,2022-01-03,2026-05-29,89.8728,187.7797,18.23,0.8171,1.4182,-10.86,,,-1.2613,-1.549,12.8366,1149,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Moderate
102886,2022-01-03,2026-05-29,119.2905,125.564,1.17,-0.2058,-0.345,-28.0,,,-1.922,-2.3251,18.1346,1149,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,High
102887,2022-01-03,2026-05-29,191.0721,378.9657,16.84,0.6195,1.079,-21.54,,,-1.5232,-1.9411,15.7584,1149,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Moderately High
118632,2022-01-03,2026-05-29,42.8339,110.5554,24.05,1.0817,1.8399,-17.41,,,-1.3954,-1.7619,14.1484,1149,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Moderate
118633,2022-01-03,2026-05-29,47.1836,91.601,16.27,0.6452,1.1401,-18.63,,,-1.3443,-1.663,13.9972,1149,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Moderate
118634,2022-01-03,2026-05-29,69.1076,134.6683,16.37,0.4484,0.7441,-23.34,,,-2.5438,-3.2304,25.2415,1149,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Very High
118635,2022-01-03,2026-05-29,170.3428,326.7508,15.96,0.6649,1.1306,-11.65,,,-1.2554,-1.6177,12.9832,1149,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Moderate
118636,2022-01-03,2026-05-29,30.1152,37.8243,5.32,-0.3566,-0.599,-8.32,,,-0.3804,-0.4919,3.9855,1149,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Low
119092,2022-01-03,2026-05-29,38.7466,50.8387,6.37,0.0308,0.0519,-14.4,,,-1.375,-1.7328,13.9507,1149,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Moderate
119093,2022-01-03,2026-05-29,41.814,58.4203,7.9,0.1296,0.2195,-21.75,,,-1.4226,-1.7487,13.9833,1149,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Moderate
119094,2022-01-03,2026-05-29,68.3023,203.8581,28.21,0.9982,1.6984,-20.96,,,-1.848,-2.426,19.4071,1149,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,High
119095,2022-01-03,2026-05-29,52.5238,56.1319,1.52,-0.076,-0.127,-51.68,,,-2.6188,-3.1667,25.0666,1149,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Very High
119120,2022-01-03,2026-05-29,42.1391,54.2038,5.89,-0.2266,-0.3665,-4.33,,,-0.3938,-0.5014,3.9671,1149,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Low
119551,2022-01-03,2026-05-29,54.3856,149.3216,25.8,1.2083,2.104,-15.01,,,-1.2846,-1.6397,13.7414,1149,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Moderate
119552,2022-01-03,2026-05-29,58.4174,137.7323,21.52,0.9533,1.604,-11.8,,,-1.3501,-1.7336,13.9394,1149,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Moderate
119598,2022-01-03,2026-05-29,89.8738,309.205,32.42,0.9453,1.6612,-28.71,,,-2.4507,-3.0595,25.1406,1149,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Very High
119599,2022-01-03,2026-05-29,96.4565,105.4849,2.05,-0.0572,-0.0941,-52.57,,,-2.6859,-3.2384,24.9501,1149,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Very High
120503,2022-01-03,2026-05-29,55.3983,118.1496,18.79,0.798,1.329,-13.9,,,-1.355,-1.7451,13.8844,1149,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Moderate
120504,2022-01-03,2026-05-29,60.1474,151.1311,23.3,1.0265,1.785,-12.59,,,-1.3728,-1.7494,14.3638,1149,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Moderate
120505,2022-01-03,2026-05-29,135.872,473.764,32.83,1.1801,2.01,-18.19,,,-1.8892,-2.4342,19.2909,1149,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,High
120506,2022-01-03,2026-05-29,202.0453,404.4207,17.08,0.6489,1.0883,-19.83,,,-1.4388,-1.9405,15.2305,1149,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Moderately High
120507,2022-01-03,2026-05-29,285.7447,388.5939,7.24,0.4957,0.8276,-0.1,,,-0.0222,-0.0373,0.4939,1149,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Low
120841,2022-01-03,2026-05-29,275.837,482.127,13.53,0.4943,0.8548,-17.57,,,-1.3142,-1.6363,13.4638,1149,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Moderate
120842,2022-01-03,2026-05-29,62.1265,82.6457,6.7,0.076,0.1235,-24.0,,,-1.8219,-2.2725,17.8947,1149,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,High
120843,2022-01-03,2026-05-29,49.9131,163.2397,30.91,1.3067,2.3529,-12.97,,,-1.4508,-1.8381,15.887,1149,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Moderately High
120844,2022-01-03,2026-05-29,3180.6318,4268.5497,6.92,-0.0887,-0.1478,-0.12,,,-0.0285,-0.0411,0.5133,1149,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Low
125497,2022-01-03,2026-05-29,560.1443,1204.9571,19.02,0.7758,1.3112,-15.2,,,-1.4592,-1.831,14.6689,1149,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Moderate
125498,2022-01-03,2026-05-29,117.5969,188.3619,11.3,0.3006,0.505,-21.12,,,-1.8365,-2.3094,18.3524,1149,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,High
148567,2022-01-03,2026-05-29,70.2514,230.2708,30.97,1.4483,2.3683,-11.27,,,-1.356,-1.7623,14.1937,1149,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Moderate
148568,2022-01-03,2026-05-29,84.0757,205.451,22.52,0.9263,1.6184,-15.27,,,-1.4712,-1.8765,15.4291,1149,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Moderately High
148569,2022-01-03,2026-05-29,28.862,97.7435,31.95,1.2349,2.1351,-16.4,,,-1.7118,-2.1328,17.674,1149,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,High
149322,2022-01-03,2026-05-29,348.7159,606.2349,13.39,0.464,0.7542,-14.84,,,-1.4474,-1.8402,14.3539,1149,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Moderate
149323,2022-01-03,2026-05-29,78.4622,245.3651,29.58,1.1321,1.8689,-17.25,,,-1.7882,-2.2607,17.7462,1149,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,High
149324,2022-01-03,2026-05-29,81.6814,279.7511,32.29,0.9498,1.6071,-31.17,,,-2.3483,-3.1036,24.8402,1149,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Very High
