,scheme_name,cagr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,composite
1,ICICI Pru Midcap Fund - Regular - Growth,32.83,1.1801,2.01,-18.19,0.88
2,Mirae Asset Tax Saver Fund - Regular - Growth,31.95,1.2349,2.1351,-16.4,0.8562499999999998
3,SBI Small Cap Fund - Regular Plan - Growth,32.42,0.9453,1.6612,-28.71,0.8325
4,DSP Small Cap Fund - Regular - Growth,32.29,0.9498,1.6071,-31.17,0.8287500000000001
5,Kotak Flexicap Fund - Regular - Growth,30.91,1.3067,2.3529,-12.97,0.8099999999999998
6,Mirae Asset Large Cap Fund - Regular - Growth,30.97,1.4483,2.3683,-11.27,0.805
7,DSP Midcap Fund - Regular - Growth,29.58,1.1321,1.8689,-17.25,0.7925
8,HDFC Mid-Cap Opportunities Fund - Regular - Growth,30.12,1.0937,1.8238,-16.22,0.77625
9,SBI Bluechip Fund - Regular Plan - Growth,25.8,1.2083,2.104,-15.01,0.7725000000000001
10,Axis Midcap Fund - Regular - Growth,28.21,0.9982,1.6984,-20.96,0.7574999999999998
